n_active,f1_samples,f1_macro,precision,recall,exact_match,n_samples
1,0.6453608226335499,0.606420883948433,0.5963971600335236,0.7862407862407862,0.47174447174447176,407
2,0.5358125798882102,0.5273179451869411,0.5565401727901729,0.6904761904761905,0.08571428571428572,420
3,0.5019817744502618,0.511748155665053,0.5247746235246236,0.6936507936507937,0.007142857142857143,420
4,0.5018545867207963,0.525069165892271,0.49474783153354585,0.7136904761904762,0.0,420
5,0.5402338867702644,0.5620792083738791,0.5041667988096559,0.770952380952381,0.0,420
6,0.5955950298984354,0.6140046069224352,0.5245548895548896,0.832936507936508,0.0,420
7,0.644816911858597,0.6594148225948394,0.5544182470968185,0.8649659863945578,0.0,420
8,0.6942959699815555,0.7055625008869003,0.6035331071045356,0.8910714285714286,0.0,420
9,0.7483408385935404,0.7555616753693447,0.6504478590192876,0.9267195767195767,0.0,420
10,0.7957370638722918,0.8001900272307316,0.6983061383061383,0.9454761904761906,0.0,420
11,0.8418959065918039,0.8442084695810497,0.7541318866318867,0.9651515151515152,0.0,420
12,0.8839707528496349,0.8856005751038369,0.811930278715993,0.9769841269841271,0.0,420
13,0.9220172038253273,0.9238841369364429,0.8734754531183104,0.9822344322344323,0.0,420
14,0.9566740077299307,0.9581212831625036,0.9363417799132085,0.9818027210884355,0.016666666666666666,420
15,0.9952747152500847,0.995574670391063,1.0,0.9912698412698414,0.9238095238095239,420
