appliance,f1,precision,recall,support,error_mode
Soldering Iron,0.7216228893058161,0.594015444015444,0.9190561529271206,3348,false-positive prone
Water kettle,0.7231094410521371,0.5952058766673111,0.9210290158540233,3343,false-positive prone
Coffee maker,0.7328190743338009,0.6021897810218978,0.935820895522388,3350,false-positive prone
Washing Machine,0.7552795031055901,0.6470838654746701,0.9069212410501193,3352,false-positive prone
Vacuum,0.7564593301435407,0.6385298869143781,0.9278169014084507,3408,false-positive prone
Laptop,0.7631286296799703,0.6556263269639065,0.9127992905704996,3383,false-positive prone
Fan,0.7649769585253456,0.6473727422003284,0.9347954949614701,3374,false-positive prone
Heater,0.7678277390753642,0.6689472522621938,0.9010107015457788,3364,false-positive prone
Air Conditioner,0.7687868523397315,0.6617710583153348,0.9170906914097575,3341,false-positive prone
Incandescent Light Bulb,0.8001994266483858,0.6940540540540541,0.9446733372572101,3398,false-positive prone
Hairdryer,0.8077025942765446,0.7296448417492147,0.9044624138963762,3339,false-positive prone
Fridge,0.8245192307692307,0.7470958373668926,0.9198450536352801,3356,false-positive prone
Compact Fluorescent Lamp,0.848568281938326,0.7886386898669396,0.9183551847437426,3356,false-positive prone
Microwave,0.8501888375996642,0.8007905138339921,0.90608228980322,3354,false-positive prone
Hair Iron,0.9261511728931364,0.8920502092050209,0.9629629629629629,3321,balanced
