class_id,appliance,n_signatures,pct_of_total,kept,diversity_risk
1,Blender,2,0.01,False,HIGH
2,Coffee maker,13,0.07,True,HIGH
15,Water kettle,13,0.07,True,HIGH
6,Hair Iron,15,0.08,True,HIGH
12,Soldering Iron,28,0.14,True,HIGH
13,Vacuum,292,1.51,True,LOW
8,Heater,606,3.12,True,LOW
10,Laptop,638,3.29,True,LOW
14,Washing Machine,965,4.97,True,LOW
9,Incandescent Light Bulb,1788,9.22,True,LOW
11,Microwave,1813,9.35,True,LOW
5,Fridge,1839,9.48,True,LOW
3,Compact Fluorescent Lamp,2218,11.43,True,LOW
7,Hairdryer,2383,12.28,True,LOW
4,Fan,2946,15.19,True,LOW
0,Air Conditioner,3841,19.8,True,LOW
