n_active,f1_samples_v0_0_1,f1_macro_v0_0_1,precision_v0_0_1,recall_v0_0_1,exact_match_v0_0_1,n_samples,f1_samples_earlystop,f1_macro_earlystop,f1_delta,notes
1,0.8824,0.8483,0.8498,0.9568,0.7595,370,0.8400,0.7966,-0.0424,Single device; easiest case
2,0.7228,0.7297,0.7240,0.8107,0.2548,420,0.6307,0.6250,-0.0921,Sharp F1 drop; real-world typical range
3,0.7038,0.7104,0.7113,0.7754,0.0929,420,0.5902,0.6139,-0.1136,Worst zone for earlystop
4,0.6897,0.7016,0.6851,0.7720,0.0310,420,0.5822,0.6155,-0.1075,F1 minimum for v0.0.1
5,0.6906,0.7085,0.6706,0.7814,0.0119,420,0.6360,0.6671,-0.0546,Near minimum
6,0.7044,0.7216,0.6650,0.8202,0.0048,420,0.6555,0.6801,-0.0489,Begins recovery
7,0.7333,0.7463,0.6788,0.8476,0.0024,420,0.7014,0.7139,-0.0319,Recovery continues
8,0.7629,0.7734,0.7028,0.8714,0.0048,420,0.7420,0.7507,-0.0209,Steady improvement
9,0.7933,0.8008,0.7319,0.8897,0.0119,420,0.7758,0.7822,-0.0175,
10,0.8346,0.8382,0.7738,0.9202,0.0071,420,0.8194,0.8214,-0.0152,
11,0.8623,0.8642,0.8099,0.9325,0.0190,420,0.8525,0.8540,-0.0098,
12,0.8932,0.8940,0.8561,0.9393,0.0190,420,0.8852,0.8853,-0.0080,
13,0.9198,0.9204,0.9028,0.9421,0.0524,420,0.9166,0.9168,-0.0032,
14,0.9483,0.9488,0.9539,0.9459,0.1452,420,0.9543,0.9544,+0.0060,Earlystop slightly better here (noise)
15,0.9693,0.9692,1.0000,0.9427,0.4357,420,0.9767,0.9761,+0.0074,All devices on; precision=1.0 by construction
